"Job.Title","Position","Employee.Identifier","Fiscal.Year.2018","Total.Biennium","agency"
"ACADEMIC ADVISOR","102632","C4F3F9591E","$16,479.96","$16,479.96","Minot State University"
"ACADEMIC ADVISOR","102633","2971662CE8","$17,000.04","$17,000.04","Minot State University"
"ACADEMIC ADVISOR","103262","7C417BB202","$15,303.06","$15,303.06","Minot State University"
"ACADEMNIC ADVISOR ","103631","44456B6C16","$15,303.06","$15,303.06","Minot State University"
"ACCESS SERVICES LIBRARIAN ","12977","A955523677","$26,916.00","$26,916.00","Minot State University"
"ACCOUNTANT","23017","D2E90A5DE6","$22,381.56","$22,381.56","Minot State University"
"ACCOUNTANT","28118","C471F4F989","$28,411.56","$28,411.56","Minot State University"
"ACCOUNTANT","28555","EF8661987C","$27,138.96","$27,138.96","Minot State University"
"ADMIN ASSISTANT ","12704","25FDB4AEAB","$17,139.96","$17,139.96","Minot State University"
"ADMIN ASSISTANT ","12836","473FFC45E3","$3,078.82","$3,078.82","Minot State University"
"ADMIN ASSISTANT ","12836","584E0BE071","$8,421.87","$8,421.87","Minot State University"
"ADMIN ASST","12633","3125117BD7","$10,378.45","$10,378.45","Minot State University"
"ADMIN ASST - DEAN ","12633","8CECC1F1A9","$1,281.08","$1,281.08","Minot State University"
"ADMIN ASST - DEAN ","12965","F63A0EBD7E","$16,596.48","$16,596.48","Minot State University"
"ADMIN ASST - DIRECTOR ","12972","AD67B9A2F5","$16,389.48","$16,389.48","Minot State University"
"ADMIN ASST - DIRECTOR ","27998","4874031326","$15,671.04","$15,671.04","Minot State University"
"ADMIN ASST - DIRECTOR ","100754","4D3DCB7AC4","$15,600.00","$15,600.00","Minot State University"
"ADMIN ASST , VP ADVANCEMENT ","23811","BF9E3DAA52","$17,625.96","$17,625.96","Minot State University"
"ADMIN ASST TO DEAN ARTS & SCI ","13211","5D1B046F8D","$3,630.50","$3,630.50","Minot State University"
"ADMIN ASST TO DEAN BUSINESS ","12916","C382787196","$5,782.02","$5,782.02","Minot State University"
"ADMIN ASST TO DEAN ED & HS","12701","8827AF86C0","$6,630.04","$6,630.04","Minot State University"
"ADMIN ASST VP STUDENT AFFAIRS ","13204","4FCEF4C323","$22,138.56","$22,138.56","Minot State University"
"ADMINISTRATIVEASSISTANT ","12694","74FC192850","$18,410.04","$18,410.04","Minot State University"
"ADMINISTRATIVE ASSISTANT","12895","00B243230E","$15,571.86","$15,571.86","Minot State University"
"ADMINISTRATIVE ASSISTANT, CETL","27359","0C645CF2F2","$18,237.96","$18,237.96","Minot State University"
"ADMINISTRATIVE COORDINATOR","13055","6D45B50AD7","$10,263.00","$10,263.00","Minot State University"
"ADMINISTRATIVE SECRETARY","13117","61B9DE0C0A","$15,750.96","$15,750.96","Minot State University"
"ADMINSTRATIVE ASSIST","13123","D594C99333","$16,545.48","$16,545.48","Minot State University"
"ADMISSION COUNSELOR ","12872","8CECC1F1A9","$15,583.37","$15,583.37","Minot State University"
"ADMISSION COUNSELOR ","13039","E42826449C","$14,166.70","$14,166.70","Minot State University"
"ADMISSION COUNSELOR ","28502","368CD6A7D6","$3,348.49","$3,348.49","Minot State University"
"ADMISSION COUNSELOR ","28502","36F71FEFA5","$4,736.05","$4,736.05","Minot State University"
"ADMISSIONS COORDINATOR","12930","7A37DF3AFE","$17,477.04","$17,477.04","Minot State University"
"ADMISSIONS COORDINATOR","27071","E732520C70","$15,965.04","$15,965.04","Minot State University"
"ADMISSIONS SPECIALIST ","28504","B229E423FB","$11,497.14","$11,497.14","Minot State University"
"ADVISING/RETENTION SPECIALIST ","23813","329BE99BC6","$19,975.56","$19,975.56","Minot State University"
"ADVISING/RETENTION SPECIALIST ","26887","FB7BE10359","$26,259.96","$26,259.96","Minot State University"
"ADVISING/RETENTION SPECIALIST ","103291","53B22C1344","$20,000.04","$20,000.04","Minot State University"
"ADVISOR & STUDENT RELATIONS ","13137","9641B227D3","$20,565.00","$20,565.00","Minot State University"
"ASSC PROF BUSINESS INFO TECH","12670","2D0DA735B5","$50,333.37","$50,333.37","Minot State University"
"ASSC PROF COMM ARTS ","12695","37F795EA8C","$38,147.41","$38,147.41","Minot State University"
"ASSC PROF COMM ARTS ","13041","4F37DE9210","$58,620.15","$58,620.15","Minot State University"
"ASSC PROF COMPUTER SCIENCE","12834","E0FED886A8","$31,936.64","$31,936.64","Minot State University"
"ASSC PROF CRIMINAL JUSTICE","13119","4D1FEF06F4","$39,233.22","$39,233.22","Minot State University"
"ASSC PROF EDU/GEN TEACHER ","12718","E5677CD429","$31,704.46","$31,704.46","Minot State University"
"ASSC PROF EDUCATION ","12928","7C72F33CF8","$43,928.33","$43,928.33","Minot State University"
"ASSC PROF ENGLISH/LIT, GENERAL","12776","9D20F784AD","$33,817.47","$33,817.47","Minot State University"
"ASSC PROF ENGLISH/LIT, GENERAL","12922","5AD9F6053F","$35,193.00","$35,193.00","Minot State University"
"ASSC PROF FOREIGN LANGUAGE","13235","6CC314D157","$46,460.04","$46,460.04","Minot State University"
"ASSC PROF HEALTH/PE/FITNESS ","12805","B7794B73A6","$29,278.47","$29,278.47","Minot State University"
"ASSC PROF NURSING ","12853","D4A42B4205","$29,797.53","$29,797.53","Minot State University"
"ASSC PROF NURSING ","13000","BA7233FAF9","$26,198.54","$26,198.54","Minot State University"
"ASSC PROF PSYCHOLOGY","13030","8689EEEEF5","$31,582.47","$31,582.47","Minot State University"
"ASSC PROF PSYCHOLOGY, CLINICAL","12958","2E4606AD1D","$3,557.40","$3,557.40","Minot State University"
"ASSC PROF SCIENCE, BIOLOGY","12657","FE606E8CA1","$29,586.03","$29,586.03","Minot State University"
"ASSC PROF SCIENCE, CHEMISTRY","23756","9DAF3E0DE8","$30,006.46","$30,006.46","Minot State University"
"ASSC PROF SOCIAL SCI, ECON","12869","89F47D5169","$28,061.52","$28,061.52","Minot State University"
"ASSC PROF SOCIAL SCI, GENERAL ","12736","3F4B633F90","$34,102.01","$34,102.01","Minot State University"
"ASSC PROF SPECIAL EDUCATION ","12649","F75E0D9F9F","$44,465.04","$44,465.04","Minot State University"
"ASSISTANT ADVISOR MAFB","13230","BA9CD2E5BD","$6,155.34","$6,155.34","Minot State University"
"ASSISTANT CUSTODIAL SUPERVISOR","12918","33793A9900","$22,980.00","$22,980.00","Minot State University"
"ASSISTANT FOOTBALL COACH","12841","9EAC4A05D6","$21,182.04","$21,182.04","Minot State University"
"ASSISTANT FOOTBALL COACH","12950","95831D9A45","$23,515.04","$23,515.04","Minot State University"
"ASSISTANT FOOTBALL COACH","13020","18BFDA974E","$22,809.96","$22,809.96","Minot State University"
"ASSISTANT FOOTBALL COACH","13040","F16E5412BA","$23,465.04","$23,465.04","Minot State University"
"ASSISTANT PROF","12724","AFDA277235","$42,034.36","$42,034.36","Minot State University"
"ASSISTANT PROF","12901","B2A0AD5F87","$25,999.99","$25,999.99","Minot State University"
"ASSISTANT PROF","13152","013D82048E","$35,644.48","$35,644.48","Minot State University"
"ASSISTANT PROFESSOR ","12767","73575DD202","$42,671.99","$42,671.99","Minot State University"
"ASSISTANT PROFESSOR ","12784","78143BCDD5","$30,200.02","$30,200.02","Minot State University"
"ASSISTANT PROFESSOR ","12784","C8F087FE1A","$2,045.25","$2,045.25","Minot State University"
"ASSISTANT PROFESSOR ","12814","7FACD49C0E","$36,106.97","$36,106.97","Minot State University"
"ASSISTANT PROFESSOR ","12938","4830A10C71","$33,331.48","$33,331.48","Minot State University"
"ASSISTANT PROFESSOR ","13072","68DA2AD45F","$40,773.03","$40,773.03","Minot State University"
"ASSISTANT PROFESSOR ","13078","709703ADD9","$25,999.99","$25,999.99","Minot State University"
"ASSISTANT PROFESSOR ","13101","5A3CDDCBCF","$35,481.49","$35,481.49","Minot State University"
"ASSISTANT PROFESSOR ","13132","021963CBC8","$40,388.97","$40,388.97","Minot State University"
"ASSISTANT PROFESSOR ","13174","858E32D501","$33,270.53","$33,270.53","Minot State University"
"ASSOC DIR. COMPL/STUDENT LIFE ","27275","536E7A97A8","$26,790.00","$26,790.00","Minot State University"
"ASSOC PROF, TEACHER ED","12936","DD90A270C4","$38,685.51","$38,685.51","Minot State University"
"ASSOC. DIR., ATHLETIC OPS ","28261","CC5369FD93","$30,360.00","$30,360.00","Minot State University"
"ASSOCIATE PROF","12792","B466E64824","$41,243.32","$41,243.32","Minot State University"
"ASSOCIATE PROFESSOR ","12758","489C0EDD0E","$42,689.02","$42,689.02","Minot State University"
"ASSOCIATE PROFESSOR ","12790","75DE5062DC","$40,495.50","$40,495.50","Minot State University"
"ASSOCIATE PROFESSOR ","12854","9E90601411","$43,851.12","$43,851.12","Minot State University"
"ASSOCIATE PROFESSOR ","13075","8ED33F32B3","$33,824.24","$33,824.24","Minot State University"
"ASSOCIATE PROFESSOR ","13201","9783E5B3F8","$37,983.49","$37,983.49","Minot State University"
"ASSOCIATE REGISTRAR ","23614","3023631BF5","$21,884.52","$21,884.52","Minot State University"
"ASSOCIATE VP","12946","33EE7786DB","$55,184.68","$55,184.68","Minot State University"
"ASSOCIATE VP","12946","4F37DE9210","$1,186.15","$1,186.15","Minot State University"
"ASST ATHLETIC DIR. COM & MEDIA","27276","93B1F1A881","$18,700.90","$18,700.90","Minot State University"
"ASST ATHLETIC DIR. COM & MEDIA","27276","E697FDE218","$928.92","$928.92","Minot State University"
"ASST BASKETBALL COACH ","12786","8F0286C0FD","$21,200.04","$21,200.04","Minot State University"
"ASST BUDGET & ACCT ANALYST","12668","DB38F58721","$17,850.94","$17,850.94","Minot State University"
"ASST DIRECTOR, ENROLLMENT SVCS","23618","2D111088A1","$11.19","$11.19","Minot State University"
"ASST DIRECTOR, ENROLLMENT SVCS","23618","E44E95A9B1","$20,000.04","$20,000.04","Minot State University"
"ASST FINANCIAL AID DIRECTOR ","13200","AB77A9F522","$24,932.04","$24,932.04","Minot State University"
"ASST PROF BUS ADMIN/FIN ","13140","0B656D80C1","$52,925.38","$52,925.38","Minot State University"
"ASST PROF BUSINESS ADMIN","13187","88B8C104C8","$48,702.03","$48,702.03","Minot State University"
"ASST PROF CD/SPEECH/AUD ","12979","85099DA5CF","$37,499.76","$37,499.76","Minot State University"
"ASST PROF CD/SPEECH/AUD ","13109","7575A125F4","$34,249.96","$34,249.96","Minot State University"
"ASST PROF CD/SPEECH/AUD ","13169","81F72AD776","$33,314.04","$33,314.04","Minot State University"
"ASST PROF COMM ARTS ","13021","7B516870A7","$1,000.00","$1,000.00","Minot State University"
"ASST PROF COMM ARTS ","13106","A760549D1F","$31,126.02","$31,126.02","Minot State University"
"ASST PROF COMPUTER SCIENCE","12651","F92B55A1FF","$35,109.99","$35,109.99","Minot State University"
"ASST PROF CRIMINAL JUSTICE","12735","2267EE89DD","$32,012.17","$32,012.17","Minot State University"
"ASST PROF CRIMINAL JUSTICE","13068","A3DDB4F4CB","$26,389.99","$26,389.99","Minot State University"
"ASST PROF EDU/GEN TEACHER ","12730","43103D875A","$1,222.40","$1,222.40","Minot State University"
"ASST PROF EDU/GEN TEACHER ","12890","20FA8C17D7","$32,236.90","$32,236.90","Minot State University"
"ASST PROF EDU/GEN TEACHER ","22687","12D05E67AC","$29,286.64","$29,286.64","Minot State University"
"ASST PROF EDUCATION ","12654","730982585D","$50.00","$50.00","Minot State University"
"ASST PROF ENGLISH/LIT, GENERAL","12819","3C1F31833A","$30,335.02","$30,335.02","Minot State University"
"ASST PROF FA/ART STUDIES","13033","50477142CF","$24,646.04","$24,646.04","Minot State University"
"ASST PROF FA/ART STUDIES","13050","F5550FE4D1","$26,814.49","$26,814.49","Minot State University"
"ASST PROF FOREIGN LANGUAGE","25846","22CAB47660","$78.64","$78.64","Minot State University"
"ASST PROF HEALTH/PE/FITNESS ","13149","2F437458F8","$200.00","$200.00","Minot State University"
"ASST PROF HEALTH/PE/FITNESS ","13149","BA324A354F","$2,777.77","$2,777.77","Minot State University"
"ASST PROF MATH","12962","399E4848AB","$862.40","$862.40","Minot State University"
"ASST PROF MATH","12983","5C9DA2892E","$28,935.96","$28,935.96","Minot State University"
"ASST PROF MATH","13022","06F30690D8","$39,155.99","$39,155.99","Minot State University"
"ASST PROF MATH","25687","440FC0FE3C","$24,119.53","$24,119.53","Minot State University"
"ASST PROF MUSIC ","12692","8801AD5B27","$27,294.00","$27,294.00","Minot State University"
"ASST PROF MUSIC ","13124","BC6F23142F","$25,258.19","$25,258.19","Minot State University"
"ASST PROF MUSIC ","13126","FA2622DE8A","$29,870.00","$29,870.00","Minot State University"
"ASST PROF MUSIC ","13133","1AC03DF6FD","$32,132.00","$32,132.00","Minot State University"
"ASST PROF MUSIC ","13141","C2937424AF","$24,005.47","$24,005.47","Minot State University"
"ASST PROF MUSIC ","27518","1F5C3F4941","$22,756.04","$22,756.04","Minot State University"
"ASST PROF NURSING ","28281","1201F029BC","$30,915.99","$30,915.99","Minot State University"
"ASST PROF SCIENCE, BIOLOGY","12660","48BA14A226","$26,772.52","$26,772.52","Minot State University"
"ASST PROF SCIENCE, CHEMISTRY","13221","D64D37405A","$26,249.97","$26,249.97","Minot State University"
"ASST PROF SCIENCE, PHY, GEN ","12899","EEB27E1638","$34,690.73","$34,690.73","Minot State University"
"ASST PROF SCIENCE, PHY, GEN ","12970","32AAFD5CEB","$29,644.53","$29,644.53","Minot State University"
"ASST PROF SCIENCE, PHY, GEN ","13085","D9583BF919","$33,381.44","$33,381.44","Minot State University"
"ASST PROF SCIENCE, PHYSICS","12971","EAC198641A","$28,641.49","$28,641.49","Minot State University"
"ASST PROF SOCIAL SCI, GEOG","23757","329B95D6B6","$26,500.04","$26,500.04","Minot State University"
"ASST PROF SOCIAL SCI, HISTORY ","13181","1CC9ADAA12","$24,932.02","$24,932.02","Minot State University"
"ASST PROF SOCIAL WORK ","12900","27BB9B0C0D","$28,827.00","$28,827.00","Minot State University"
"ASST PROF SOCIAL WORK ","22689","1F882F3D14","$1.74","$1.74","Minot State University"
"ASST PROF SOCIAL WORK ","22689","4D8A3BC546","$29,883.03","$29,883.03","Minot State University"
"ASST PROF SPECIAL EDUCATION ","12772","3E2645359B","$38,775.37","$38,775.37","Minot State University"
"ASST VP, BUSN SVCS/CONTROLLER ","12643","9D2585C427","$56,621.16","$56,621.16","Minot State University"
"ASST WOMEN'S SOCCER COACH ","100689","FAB8D8F287","$8,063.04","$8,063.04","Minot State University"
"ASST WOMENS BASKETBALL COACH","28256","10FC92B20B","$19,649.96","$19,649.96","Minot State University"
"ATHLETIC COACH","12809","8FCE165950","$6,320.00","$6,320.00","Minot State University"
"ATHLETIC COACH","12873","9160896867","$47,577.96","$47,577.96","Minot State University"
"ATHLETIC MARKETING DIRECTOR ","28252","093215F210","$15,050.00","$15,050.00","Minot State University"
"ATHLETICS CUSTODIAL SUPERVISOR","13027","5BA69E0F4D","$20,000.04","$20,000.04","Minot State University"
"AUTISM FAMILY SUPPORT SPEC","13225","1331D8CF4A","$19,340.52","$19,340.52","Minot State University"
"AUTISM RESEARCH PROFESSIONAL","26398","0297326944","$30,725.38","$30,725.38","Minot State University"
"BISMARCK CONTINUING ED SPEC ","12673","37ED3C11C7","$17,735.52","$17,735.52","Minot State University"
"BOILER OPERATOR, LEAD WORKER","13005","74C1495812","$21,069.78","$21,069.78","Minot State University"
"BUDGET AND FISCAL ANALYST ","12794","A2A7AA944E","$19,877.52","$19,877.52","Minot State University"
"BUILDING CUSTODIAN","12634","B979E0452B","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","12656","CDFD91F4A3","$7,626.64","$7,626.64","Minot State University"
"BUILDING CUSTODIAN","12656","DD4B64778B","$4,546.16","$4,546.16","Minot State University"
"BUILDING CUSTODIAN","12702","C0FF6CF224","$14,291.04","$14,291.04","Minot State University"
"BUILDING CUSTODIAN","12806","532333A1C7","$13,293.48","$13,293.48","Minot State University"
"BUILDING CUSTODIAN","12861","43F690A480","$5,999.98","$5,999.98","Minot State University"
"BUILDING CUSTODIAN","12861","CDFD91F4A3","$3,813.32","$3,813.32","Minot State University"
"BUILDING CUSTODIAN","12908","BBEAC6B93E","$13,426.56","$13,426.56","Minot State University"
"BUILDING CUSTODIAN","12910","4466A89C0B","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","12941","0D9432CC5C","$18,473.57","$18,473.57","Minot State University"
"BUILDING CUSTODIAN","13010","116551890C","$17,610.00","$17,610.00","Minot State University"
"BUILDING CUSTODIAN","13026","464C6D3B14","$17,401.41","$17,401.41","Minot State University"
"BUILDING CUSTODIAN","13054","5DAD27099D","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","13094","30A315786D","$14,576.52","$14,576.52","Minot State University"
"BUILDING CUSTODIAN","13111","8A63B59A25","$13,686.46","$13,686.46","Minot State University"
"BUILDING CUSTODIAN","13115","ED56737EDD","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","13218","75A7DBC9CF","$16,203.48","$16,203.48","Minot State University"
"BUILDING CUSTODIAN","23613","90468DA6AA","$8,189.22","$8,189.22","Minot State University"
"BUILDING CUSTODIAN","23613","B86177AE32","$5,633.35","$5,633.35","Minot State University"
"BUILDING CUSTODIAN","27969","3DE8256295","$15,595.81","$15,595.81","Minot State University"
"BUILDING CUSTODIAN","27971","54E72C5141","$15,872.52","$15,872.52","Minot State University"
"BUILDING CUSTODIAN","27972","5A368011FE","$4,132.87","$4,132.87","Minot State University"
"BUILDING CUSTODIAN","27972","748690E5EE","$7,725.28","$7,725.28","Minot State University"
"BUILDING CUSTODIAN","27973","14C56C885F","$2,080.00","$2,080.00","Minot State University"
"BUILDING CUSTODIAN","27973","5A368011FE","$9,505.61","$9,505.61","Minot State University"
"BUILDING CUSTODIAN","27974","70772C2B57","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","27975","794A6958E8","$13,638.48","$13,638.48","Minot State University"
"BUILDING CUSTODIAN","28254","958A58117A","$3,785.63","$3,785.63","Minot State University"
"BUILDING CUSTODIAN","28254","AA28E1B657","$3,175.16","$3,175.16","Minot State University"
"BUILDING CUSTODIAN","28539","23A571A680","$13,761.85","$13,761.85","Minot State University"
"BUSINESS MANAGER","103209","6837715077","$26,250.00","$26,250.00","Minot State University"
"BUSINESS OFFICE CASHIER ","12801","3C9358B430","$14,098.00","$14,098.00","Minot State University"
"BUSINESS OFFICE TECHNICIAN","12877","D3321252FE","$17,304.00","$17,304.00","Minot State University"
"BUSINESS OFFICE TECHNICIAN","13061","C6BF29D4C9","$15,595.58","$15,595.58","Minot State University"
"CAMPUS SECURITY OFFICER ","12768","F1D22050A9","$20,304.36","$20,304.36","Minot State University"
"CAMPUS SECURITY OFFICER ","100755","BB0B295461","$26,229.00","$26,229.00","Minot State University"
"CAMPUS SECURITY OFFICER ","100756","F63224F8CF","$20,199.12","$20,199.12","Minot State University"
"CAMPUS SECURITY OFFICER ","100758","A2407EF49A","$20,828.91","$20,828.91","Minot State University"
"CAMPUS SECURITY OFFICER ","100760","32032A0AC5","$4,085.99","$4,085.99","Minot State University"
"CHAIR, ACCOUNTING & FINANCE ","13184","FDFB6249E5","$48,813.54","$48,813.54","Minot State University"
"CHAIR, AS/SW/PSYCHOLOGY ","12995","0D77FAA501","$41,330.51","$41,330.51","Minot State University"
"CHAIR, BUSINESS ADMINISTRATION","12905","016BFA42E3","$52,122.07","$52,122.07","Minot State University"
"CHAIR, BUSINESS INFO TECH ","13219","CB1B749FA5","$64,834.08","$64,834.08","Minot State University"
"CHAIR, CD/SPEECH/AUD","12826","80E444A556","$41,700.05","$41,700.05","Minot State University"
"CHAIR, CRIMINAL JUSTICE ","23610","47FE1D4A44","$48,212.56","$48,212.56","Minot State University"
"CHAIR, NURSING","13105","182A1DB30A","$42,741.53","$42,741.53","Minot State University"
"CHAIR, SCIENCE","12732","E42815EC40","$44,810.01","$44,810.01","Minot State University"
"CHAIR, SOCIAL SCIENCES","12947","B8CD3F1D98","$49,165.07","$49,165.07","Minot State University"
"CHAIR, SPECIAL EDUCATION","13100","9810E54D8B","$44,284.70","$44,284.70","Minot State University"
"CHAIR, TEACHER EDUCATION&HPER ","26895","09F854492B","$35,910.82","$35,910.82","Minot State University"
"CLINIC OPERATIONS COORDINATOR ","13234","836B2C77F1","$17,563.96","$17,563.96","Minot State University"
"CO-CHAIR, HUMANITIES","12737","24D117BE7D","$34,448.04","$34,448.04","Minot State University"
"CO-CHAIR, HUMANITIES","12898","7E2CF291B5","$45,286.57","$45,286.57","Minot State University"
"CREDIT COORDINATOR","22692","723461EF96","$17,314.56","$17,314.56","Minot State University"
"CUSTODIAL SUPERINTENDENT","12897","D489810BDB","$24,051.96","$24,051.96","Minot State University"
"DATABASE TECHNICIAN ","12871","E51340654E","$19,775.52","$19,775.52","Minot State University"
"DEAN, ARTS & SCIENCES ","13145","2824B7D2E6","$12,379.73","$12,379.73","Minot State University"
"DEAN, CENTER EXTENDED LEARNING","12946","4F37DE9210","$8,782.12","$8,782.12","Minot State University"
"DEAN, COLLEGE OF BUSINESS ","12846","33EE7786DB","$12,502.43","$12,502.43","Minot State University"
"DEAN, EDUCATION & HEALTH SCI","13023","9CE1A3817E","$11,704.55","$11,704.55","Minot State University"
"DEG AUD & NCAA ELIGIBLE SPEC","13154","ACB8C3EB6E","$15,492.96","$15,492.96","Minot State University"
"DEPARTMENT SECRETARY","12701","8827AF86C0","$13,260.08","$13,260.08","Minot State University"
"DEPARTMENT SECRETARY","13114","6D45B50AD7","$5,976.92","$5,976.92","Minot State University"
"DEPARTMENT SECRETARY","25371","7DED18335E","$16,922.52","$16,922.52","Minot State University"
"DEVELOPMENT OFFICER ","24978","21D75F8F8A","$7,500.00","$7,500.00","Minot State University"
"DEVELOPMENT OFFICER ","103040","2620AF9D96","$35,000.04","$35,000.04","Minot State University"
"DIR ALUMNI & ANNUAL GIVING","13014","3C31E96D87","$25,518.00","$25,518.00","Minot State University"
"DIR CTR ENGAGED TCH LRNG","27055","AC41C1D00C","$35,771.52","$35,771.52","Minot State University"
"DIR, STUDENT ACTIVITIES CENTER","13046","F9D4326909","$33,836.52","$33,836.52","Minot State University"
"DIRECTOR COMPUTER SUPPORT SVCS","13223","59DA91108F","$42,433.56","$42,433.56","Minot State University"
"DIRECTOR INTERNATIONAL PROGRAM","24969","139B49E113","$33,805.16","$33,805.16","Minot State University"
"DIRECTOR NETWORK SERVICES ","12762","5358537BA5","$45,623.04","$45,623.04","Minot State University"
"DIRECTOR OF ATHLETICS ","12838","2C372C4186","$54,789.96","$54,789.96","Minot State University"
"DIRECTOR, CAREER SERVICES ","12676","5B9BBD50EE","$35,303.04","$35,303.04","Minot State University"
"DIRECTOR, ENROLLMENT SERVICES ","13227","0AC6878721","$32,960.04","$32,960.04","Minot State University"
"DIRECTOR, FINANCIAL AID ","12797","CF117C0171","$39,393.48","$39,393.48","Minot State University"
"DIRECTOR, HUMAN RESOURCES ","12978","7F1ADAE959","$42,735.48","$42,735.48","Minot State University"
"DIRECTOR, INST RESEARCH ","25556","568E905B6A","$37,017.60","$37,017.60","Minot State University"
"DIRECTOR, LIBRARY ","12810","71D7BE9ABF","$47,202.48","$47,202.48","Minot State University"
"DIRECTOR, MARKETING ","24979","EB5DA2EFE1","$37,490.04","$37,490.04","Minot State University"
"DIRECTOR, NORTHWEST ART CENTER","13188","4976187A36","$22,479.40","$22,479.40","Minot State University"
"DIRECTOR, SECURITY & SAFETY ","28117","0EE383BCDE","$34,899.96","$34,899.96","Minot State University"
"DIRECTOR, STUDENT ACTIVITIES","12681","BEF3F0552F","$18,479.52","$18,479.52","Minot State University"
"DIRECTOR, STUDENT HEALTH","12659","D3078573DF","$29,526.48","$29,526.48","Minot State University"
"DIRECTOR, STUDENT HOUSING ","12878","EB85608081","$20,524.56","$20,524.56","Minot State University"
"DIRECTOR, TRIO PROGRAM","27841","63ACB4362A","$29,958.96","$29,958.96","Minot State University"
"DIRECTOR, UNIV. COMMUNICATIONS","13161","E697FDE218","$24,984.21","$24,984.21","Minot State University"
"DISABILITIES SERVICES COORD ","22690","4307BB2DE2","$33,223.56","$33,223.56","Minot State University"
"DONOR RELATIONS COORDINATOR ","25920","8CD4DA12A6","$21,198.48","$21,198.48","Minot State University"
"EARLY INTERVENTIONIST ","100988","E5742EFBCC","$28,014.48","$28,014.48","Minot State University"
"EARLY RETIREE ","22944","C8F087FE1A","$1,276.66","$1,276.66","Minot State University"
"EDUCATION PROGRAM COORD ","13134","448D0E2518","$21,546.48","$21,546.48","Minot State University"
"EDUCATION PROGRAM COORDINATOR ","103314","69863CE87D","$17,000.04","$17,000.04","Minot State University"
"ELECTRICIAN ","27922","6203E021BA","$35,890.15","$35,890.15","Minot State University"
"ENVIRONMENTAL SYS TECH","12728","F62AAFE180","$27,937.50","$27,937.50","Minot State University"
"ENVIRONMENTAL SYSTEMS TECH","12759","2D8059C36E","$23,204.52","$23,204.52","Minot State University"
"EXECUTIVE ASSISTANT ","13208","C246D46802","$26,531.52","$26,531.52","Minot State University"
"EXECUTIVE DIR, BEAVER BOOSTER ","12988","6BBBBB7D47","$29,420.04","$29,420.04","Minot State University"
"FACILITIES ADMIN SVCS SUPVSR","12785","9E49A47694","$21,056.04","$21,056.04","Minot State University"
"FACILITY MAINTENANCE WORKER ","12697","D6C1D600E4","$16,550.52","$16,550.52","Minot State University"
"FACILITY MAINTENANCE WORKER ","12997","D67376BCF6","$20,469.00","$20,469.00","Minot State University"
"FINANCIAL AID COUNSELOR ","12727","EAB1E1FB99","$19,361.52","$19,361.52","Minot State University"
"FINANCIAL AID COUNSELOR ","13019","1560EB497D","$15,946.90","$15,946.90","Minot State University"
"FINANCIAL AID COUNSELOR ","23212","BFF5376CA9","$15,117.96","$15,117.96","Minot State University"
"FITNESS CENTER COORDINATOR","25294","C679D03F07","$28,770.48","$28,770.48","Minot State University"
"GPAST MODEL DEMO COORDINATOR","27155","73AFAB0EFD","$4,195.00","$4,195.00","Minot State University"
"GPAST TRAINING COORDINATOR","27893","F99DCD053D","$14,860.86","$14,860.86","Minot State University"
"GRADUATE ASSISTANT","13233","16C28DD156","$1,370.00","$1,370.00","Minot State University"
"GRADUATE ASSISTANT","13233","EC220E5C3B","$1,370.00","$1,370.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","22957","3402F2C543","$1,370.06","$1,370.06","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","22957","4671EDCB0B","$2,740.00","$2,740.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25926","F56F618718","$1,370.00","$1,370.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25927","817C578911","$1,370.00","$1,370.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25928","B77D882695","$1,370.00","$1,370.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25932","561A8CA50D","$1,370.00","$1,370.00","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25932","95C66ED0AA","$1,712.50","$1,712.50","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25932","B014E93DED","$1,712.50","$1,712.50","Minot State University"
"GRADUATE RESEARCH ASSISTANT ","25933","146A26A7D1","$2,740.00","$2,740.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","09B0A41ABC","$2,650.00","$2,650.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","3ADA910973","$2,500.00","$2,500.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","3D8806E234","$3,000.00","$3,000.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","6DE5099118","$150.00","$150.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","7C9A77230C","$2,500.00","$2,500.00","Minot State University"
"GRADUATE SERVICE ASSISTANT","101372","B00A43AB73","$3,385.00","$3,385.00","Minot State University"
